name,product_list
浙大九智（杭州）投资管理有限公司,义乌富鹏股权投资合伙企业(有限合伙)|外贸信托九智1号集合资金信托计划|工银瑞信投资-黔轮胎资产管理计划|德清华智投资合伙企业(有限合伙)|浙江昆仑创元股权投资合伙企业(有限合伙)|杭州申智投资合伙企业(有限合伙)|杭州国京汇昱股权投资基金合伙企业(有限合伙)|外贸信托九智9号集合资金信托计划|杭州国京汇英股权投资基金合伙企业(有限合伙)|德清沣智投资合伙企业(有限合伙)|杭州国京汇跃股权投资基金合伙企业(有限合伙)|杭州港智投资合伙企业(有限合伙)|杭州国京汇禧股权投资基金合伙企业(有限合伙)|天马腾飞1号资产管理计划|长兴汇智佳华投资合伙企业(有限合伙)|德清汉智投资合伙企业(有限合伙)|杭州国京汇嘉股权投资基金合伙企业(有限合伙)|外贸信托晶技九智8号定向增发集合资金信托计划|杭州溯智投资合伙企业(有限合伙)|杭州锦溪投资合伙企业(有限合伙)|杭州泽智股权投资合伙企业(有限合伙)|德清恒智投资合伙企业(有限合伙)|杭州国京汇略股权投资基金合伙企业(有限合伙)|杭州浙盐汇智投资合伙企业(有限合伙)|浙银汇智嘉禾股权投资基金|九智10号私募投资基金
达仁投资管理集团股份有限公司,“财通-达仁1号”资产管理计划|陕国投财富12号资金信托|达仁通宝5期私募证券投资基金|中融-融新168号达仁通宝一期证券投资集合资金信托|达仁通宝3期私募证券投资基金|中融-08融新79号(达仁通宝2期)证券投资集合资金信托|达仁通宝8期私募证券投资基金|达仁米尔肯1号私募证券投资基金|达仁MTS量化策略证券投资基金1号|中国梦1期私募证券投资基金|达仁通宝7期私募证券投资基金|达仁方际并购投资基金|达仁混合策略1号私募证券投资基金|达仁稳健自由行基金|达仁安享盈和1号私募证券投资基金|中信建投-达仁1号债券分级资产管理计划|达仁笃行1号私募证券投资基金|达仁资管-卓越6号私募证券投资基金|中国梦4期私募证券投资基金|达仁资管-焱燊全球套利1号专项资产管理基金
上海天地人和创业投资有限公司,上海泰山天颐创业投资合伙企业(有限合伙)|山东天地共富创业投资基金 合伙企业(有限合伙)
深圳中开泰信投资管理有限公司,上海夏唐投资管理合伙企业(有限合伙)
宁波盛世知己投资管理中心（有限合伙）,陕国投·鼎锋18期证券投资集合资金信托计划|陕国投·鼎锋8期证券投资集合资金信托计划|鼎锋盛世鼎鑫投资基金|盛世鲲鹏2号私募基金|盛世阳光私募基金|盛世鲲鹏1号私募基金|鼎锋盛世1号私募证券投资基金|川信-鼎锋1号证券投资集合资金信托计划|盛世鲲鹏4号私募基金|盛世中欧证券投资基金|盛世鲲鹏3号私募基金|鼎锋成长29期私募投资基金|盛世长安证券投资基金
北京汉能嘉宏投资管理中心（有限合伙）,重庆汉能科技创业投资中心(有限合伙)|重庆汉能禾晟投资中心(有限合伙)
上海名禹资产管理有限公司,兴业信托▪名禹稳健增长证券投资集合资金信托计划|名禹FOF1期B私募证券投资基金|名禹五期C私募证券投资基金|名禹8期私募证券投资基金|名禹FOF1期私募证券投资基金|中信信托名禹砺金3期风险缓冲金融投资集合资金信托计划|名禹择时量化2期私募证券投资基金|名禹卓成1期私募证券投资基金|华润信托•瑞智精选名禹砺金1期集合资金信托计划|华润信托▪名禹尊享系列集合资金信托计划|名禹砺金1期证券投资基金|名禹鸿益1期私募证券投资基金|名禹五期B证券投资基金|名禹卓成2期私募证券投资基金|名禹9期私募证券投资基金|名禹11期私募证券投资基金|名禹七期A私募证券投资基金|名禹择时量化1期私募证券投资基金|名禹七期私募证券投资基金|华润信托▪名禹风险缓冲砺金2期集合资金信托计划|名禹大道港股通私募证券投资基金|名禹6期证券投资基金|名禹10期私募证券投资基金|名禹灵越证券投资基金|名禹灵动证券投资基金|名禹五期证券投资基金|名禹精选1号证券投资基金|名禹精英1期私募证券投资基金|名禹五期A证券投资基金|名禹FOF1期A私募证券投资基金|名禹斛兵私募证券投资基金|名禹沐风1期私募证券投资基金
新毅资产管理股份有限公司,嘉兴新毅恒通投资合伙企业(有限合伙)|新奥毅赢2号基金|嘉兴新毅康仁投资合伙企业(有限合伙)|新毅德元二号基金|新毅德元三号基金|嘉兴新毅源悦投资合伙企业(有限合伙)|新毅德元九号基金|宿迁新毅恒兴投资管理中心(有限合伙)|新毅德元十六号私募投资基金|新毅德元十五号基金|嘉兴新毅乾荣投资合伙企业(有限合伙)|新毅毅赢价值投资三号基金|嘉兴新毅源富投资合伙企业(有限合伙)|宿迁新毅恒绎投资管理中心(有限合伙)|新毅德元十九号私募投资基金|宿迁新毅盛德和华投资合伙企业(有限合伙)|新毅德元五号基金|新毅德元十二号基金|新毅德元十八号私募投资基金|新毅德元十号基金
上海磐石元成投资有限公司,上海磐石宝骐投资合伙企业(有限合伙)|上海磐石金池投资合伙企业(有限合伙)|上海磐石容银投资管理中心(有限合伙)|上海磐石澄星投资合伙企业(有限合伙)|上海磐石熠隆投资合伙企业(有限合伙)|上海磐石熠悦投资合伙企业(有限合伙)
华软投资（上海）有限公司,华轩(上海)股权投资基金有限公司|北京金陵华软恒毅投资合伙企业(有限合伙)|北京金陵华软阳明投资合伙企业(有限合伙)|上海华软创业投资合伙企业(有限合伙)
上海磐石投资有限公司,上海磐石投资有限公司
杭州方正多策投资管理合伙企业（有限合伙）,杭州禾优投资管理合伙企业(有限合伙)|上海诺牧投资中心(有限合伙)|昆明远望健康产业股权投资基金合伙企业(有限合伙)|上饶市展宇新能源产业升级投资合伙企业(有限合伙)|宁波梅山保税港区禾澈投资管理合伙企业(有限合伙)|方正多策- 东兴明汯新三板1号基金
湖南清源投资管理有限公司,湖南新能源创业投资基金企业(有限合伙)
泉州四季投资管理合伙企业（有限合伙）,四季一号|四季壹号基金
春华（天津）股权投资管理有限公司,春华(天津)股权投资合伙企业(有限合伙)|春华2号投资基金|春华7号投资基金|春华6号私募投资基金|春华3号投资基金|春华韶景(天津)股权投资合伙企业(有限合伙)
建信（北京）投资基金管理有限责任公司,北京建信股权投资基金(有限合伙)|芜湖建信鼎信投资管理中心(有限合伙)|云南省昭通建信融聚教育发展私募基金|潮州市中潮产业投资合伙企业(有限合伙)|建信(北京)投资基金管理有限责任公司重庆城市发展私募投资基金(涪陵两桂安置房)|建信投资-嘉远私募投资基金1号|昆明市春雨路及金马路综合管廊项目私募投资基金|南宁市海绵城市基金|中国国企改革创新三号私募投资基金|建信行业龙头精选一号私募股权投资基金|建信(北京)投资-深圳家族成长一号私募投资基金|星云计划-长青一号私募投资基金|武汉市黄陂区机场快线及路网工程建设PPP投资私募基金|建信投资-稳盈投资基金|云南省融聚发展重点项目投资私募基金|建信福州新区投资发展私募基金|建硚创谷智慧城镇建设私募投资基金|建信投资-海峡3号私募投资基金|康美建投(广东)大健康产业基金(有限合伙)|瑞金市一江两岸及异地棚改项目私募投资基金|沈阳建盛股权投资基金合伙企业(有限合伙)|嘉兴建信天江股权投资合伙企业(有限合伙)|中国国企改革创新私募投资基金|建信(北京)投资基金管理有限责任公司重庆城市发展私募投资基金(永川北部拓展区)|建银长沙市城中村改造私募基金|建信(北京)投资基金管理有限责任公司重庆城市发展私募投资基金(长寿经开)|海南建银建信专项基金一号合伙企业(有限合伙)|建信翘楚投资基金1号|中船降本增效私募投资基金|建信投资-潍坊市政府存量债务优化重组基金|建信投资-盐城高新区新型城镇化建设基金|建信投资-广弘1号投资基金|建信亳州市城建发展私募基金|北京建信瑞祥投资管理中心(有限合伙)|中金康瑞壹期(宁波)股权投资基金合伙企业(有限合伙)|云南建信春雨降本增效私募基金|北京中建共赢城镇投资基金(有限合伙)|铁建昌吉(武汉)投资发展合伙企业(有限合伙)|建信(北京)投资基金管理有限责任公司重庆城市发展私募投资基金(涪陵秋月门旧城改造)|建信投资-南钢降本增效私募投资基金|建信投资-润粤私募投资基金|建信科创新兴一号私募股权投资基金|无锡食品科技园产业发展基金|山东能源集团转型发展私募基金|建信投资产业升级二号私募股权投资基金|建工建信(福州)股权投资合伙企业(有限合伙)|建信(北京)投资基金管理有限责任公司重庆中新临空产业建设发展基金二期|建信投资-姑苏新韵1号私募投资基金|宁波市镇海区城镇化建设私募投资基金|建信睿投1号私募投资基金|建信投资-优债发展21号私募投资基金|惠州市恺科产业投资合伙企业(有限合伙)|仁湖开发项目私募投资基金|海江投资项目私募投资基金|中国国企改革创新二号私募投资基金|宁海县城镇化建设私募投资基金|建信投资尊享1号私募基金|建信投资-北辰天源私募投资基金|建信(平潭)股权投资合伙企业(有限合伙)|云南融聚引导1号投资私募基金
